Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD_15,GD_15,XPD_15
Nilah Nilah,2,0,0.03,1,1,0.5,8.7,0,34:09:00,9.7,439,467,14.5,50,1248
Cassiopeia Cassiopeia,1,0,0.01,0,1,0,1,0,27:04:00,8.7,436,360,-15,64,-555
Graves Graves,1,0,0.01,1,0,1,0,0,28:09:00,8.8,710,485,49,2437,796
Karma Karma,1,0,0.01,0,1,0,2,0,26:23:00,0.8,230,220,8,-433,408
KhaZix KhaZix,1,0,0.01,1,0,1,2.5,0,29:41:00,7,333,391,15,169,940
KogMaw KogMaw,1,0,0.01,0,1,0,0.5,0,34:22:00,10.1,516,414,-11,-63,-51
Lucian Lucian,1,0,0.01,0,1,0,1,0,31:56:00,10,429,403,2,294,160
Malphite Malphite,0,1,0.01,0,0,0,0,10,0,0,0,0,0,0,0
Nidalee Nidalee,1,0,0.01,0,1,0,1,0,28:44:00,5.7,400,284,12,-76,532
Quinn Quinn,1,0,0.01,0,1,0,0.2,0,28:33:00,8,492,321,24,145,494
Ryze Ryze,1,0,0.01,1,0,1,13,0,34:24:00,8.8,525,441,14,499,178
Soraka Soraka,1,0,0.01,0,1,0,0.3,0,28:58:00,0.3,191,202,-21,-695,216
Thresh Thresh,1,0,0.01,0,1,0,1.5,0,28:29:00,1.2,112,228,-2,835,-208
Volibear Volibear,1,0,0.01,0,1,0,0.3,0,24:34:00,7.1,205,309,-39,-1256,-1435
Yasuo Yasuo,0,1,0.01,0,0,0,0,10,0,0,0,0,0,0,0
Zac Zac,1,0,0.01,0,1,0,1,0,45:16:00,4.3,291,271,0,126,669
Jhin Jhin,1,0,0.01,1,0,1,14,0,24:51:00,9.1,412,405,11,1157,809
Camille Camille,1,0,0.01,0,1,0,1,0,27:39:00,8.4,271,367,-10,-234,395
Sett Sett,1,0,0.01,0,1,0,0.2,0,22:35,1.9,164,217,7,-368,-887
Vex Vex,1,0,0.01,1,0,1,7,0,24:38:00,8.5,833,436,10,1088,236
